algorithm:, Perceptrons
 , Predicted RT, Predicted Non-RT,
Actual RT, 2, 16, ,accuracy: ,0.830000, sensitivity: ,0.111111, specificity: ,0.987805,
Actual Non-RT, 1, 81, ,precision: ,0.666667, recall: ,0.111111, f-measure: ,0.190476,

